Text,Lemmas,Neutral,Negative,Positive,Overall
"@gazprombank Расписал в личку подробнее, бага воспроизводится каждый раз","['расписать', 'личка', 'дробный', 'баг', 'воспроизводиться', 'каждый']",0.0,0.3629792034626007,0.0,Negative
"@gazprombank 
Добрый день.
Получила 17.12. зарплатную карту с привязанным номером телефона,18.12 скачала приложение,пишут номер не прикреплен. 20.12 повторно пошла в отделение банка, прикрепила номер. Опять не прикреплен, позвонила но горячую линию, сказали приходить в банк.3 раз","['добрый', 'день', 'получить', 'зарплатный', 'привязать', 'номер', 'телефон', 'скачать', 'приложение', 'писать', 'номер', 'прикрепить', 'повторно', 'пошлый', 'отделение', 'прикрепить', 'номер', 'прикрепить', 'позвонить', 'горячий', 'линия', 'сказать', 'приходить']",0.4301573634147644,0.3557848632335663,0.0,Neutral
@gazprombank @mirpaycard Эх(,['эх'],0.23935934901237488,0.0,0.0,Neutral
@gazprombank #мир @mirpaycard не работает 🙁 https://t.co/C830DA3ada,"['мир', 'работать', 'немного', 'хмурый']",0.1778208613395691,0.5312193632125854,0.0,Negative
@gazprombank @policeofsorrow Почему бы вам не написать в рекламе «70 ПРОЦЕНТОВ при условии миллиард в конце каждого месяца!»? Дарю лайфхаг!,"['написать', 'реклама', 'процент', 'условие', 'миллиард', 'конец', 'каждый', 'месяц', 'дарить', 'лайфхаг']",0.2509227991104126,0.21207880973815918,0.0,Neutral
@gazprombank @policeofsorrow Два месяца повышенная ставка? То есть ГЛАВНОЕ (всего два месяца) вы скрываете? И способны себе в глаза в зеркало спокойно смотреть?,"['месяц', 'повышенный', 'ставка', 'главный', 'месяц', 'скрывать', 'способный', 'глаз', 'зеркало', 'спокойно', 'смотреть']",0.0,0.3140605390071869,0.0,Negative
@gazprombank @policeofsorrow Где ж тут 8%? https://t.co/0m1bDAwYus,[],1.0000100135803223,1.0000003385357559e-05,0.0,Neutral
@gazprombank хватит одолевать мою маму смс чужого человека. Она просила убрать её номер - попросили договор с оператором. Вы там офигели? Не вы ли как раз должны выяснять кому номер принадлежит на самом деле? Спамеры...,"['хватить', 'одолевать', 'мама', 'смс', 'чужое', 'человек', 'просить', 'убрать', 'её', 'номер', 'попросить', 'договор', 'оператор', 'офигель', 'должный', 'выяснять', 'кома', 'номер', 'принадлежать', 'самый', 'дело', 'спамер']",0.0,0.6926519870758057,0.0,Negative
@gazprombank выступит Генеральным партнером XII федерального Конгресса ИДТ «Устойчивой развитие в интересах детства». Специалисты банка примут участие в проекте «Деловой клуб ИДТ» и проведут консультации по вопросам кредитования малого и среднего бизнеса: https://t.co/MHWN1TPNpe https://t.co/KebPfQQmMJ,"['выступить', 'генеральный', 'партнёр', 'xii', 'федеральный', 'конгресс', 'идт', 'устойчивый', 'развитие', 'интерес', 'детство', 'специалист', 'принять', 'участие', 'проект', 'деловой', 'клуб', 'идт', 'провести', 'консультация', 'вопрос', 'кредитование', 'малое', 'среднее', 'бизнес']",0.4843900501728058,0.5775054097175598,0.0,Negative
"@gazprombank Хорошо, спасибо большое! Прошу прощения ещё раз!","['спасибо', 'большой', 'просить', 'прощение', 'ещё']",0.0,0.2509227991104126,0.0,Negative
