Datetime,Tweet Id,Text,Username,Language
2021-12-30 22:12:23+00:00,1476677571840552961,"@alfabank, мне нужно подтверждение закрытия счёта *4482 и в дальнейшем закрытая счёта *7681
в офис банка я физически придти не могу, поэтому, или по почте россии, или на электронку",iamktoto,ru
2021-12-30 21:48:56+00:00,1476671673646698500,"@alfabank Вообще конечно это просто офигенно устроено: дыра в ВАШЕЙ системе безопасности, личные данные проебали ВЫ, а вам не просто никаких последствий, даже репутационных, а ещё и процентики. Страхование вкладов? Не, нахуй идите. Фу такими быть. Мошенники натурально.",rusanola,ru
2021-12-30 21:36:16+00:00,1476668486143610880,"@alfabank Кааанешна-канешна! Вы не передаёте, просто делаете так 🙈 и вуаля, оно всё как-то само происходит. Говнюки вы редкостные. Не тот, кто ведёт этот твиттер, естессно, а там, начальники ваши, которые болт на безопасность данных положили. И не только на них.",rusanola,ru
2021-12-30 16:50:23+00:00,1476596540106018819,"@alfabank Вот в @sberbank я смог через телефон, у @alfabank надо делать через отделение, суко пиздец технологично😂",azamataka,ru
2021-12-30 16:30:51+00:00,1476591624734003204,"@alfabank Это полнейшая чушь. Как мошенники узнали точный остаток и когда мы прошлый раз были в банке? А IP с которого они долбились инициализировать интернет банк? Какой IP, откуда, кто-то выехал чтобы накрыть банду? Вместо оперативной отработки вы послали левую отписку.",ivanytch,ru
2021-12-30 15:47:18+00:00,1476580663247712265,"@alfabank 1) обещанный проход в бизнес-зал аэропорта
2) регистрация самозанятого
3) поломка пуш-уведомлений в приложении",alexandrmoroz,ru
2021-12-30 14:54:39+00:00,1476567412208291848,"@alfabank Прошу закрыть кредитную карту, счет к ней и расторгнуть договор🤷🏻‍♀️",KatyaTokmakova,ru
2021-12-30 12:54:35+00:00,1476537200380723204,"@alfabank Я писала заявку на закрытии кредитной карты еще в августе, она все еще открыта, как так?",KatyaTokmakova,ru
2021-12-30 12:16:03+00:00,1476527501203673089,"@alfabank @ilyabirman @delph1n Альфа еще в 2008 году выжили нормальных людей из банка, остались только те, кому некуда идти, их просто не берут никуда. Вот этих несчастных глупых рабов они и эксплуатируют. Есть редкие исключения из этого правила, но их немного. )",dvg_rus,ru
2021-12-30 11:37:11+00:00,1476517720250359815,"@alfabank Узнаю фирменный стиль поддержки АБ. От создателей скрипта «уточните, кто и когда вам звонил, почему вы решили что это Альфабанк». Как можно было так скатиться…",nickolay,ru
2021-12-30 11:32:51+00:00,1476516629722943494,@alfabank Там продолжение этой ситуации. И где же ваша служба безопасности?,st_da,ru
2021-12-30 11:04:14+00:00,1476509426999869443,"@alfabank Проверяйте, я уже все писал в вашем чате и говорил по телефону. Номер заявки по оспариванию N°A2112301926. Думаю, пл нему вы все найдёте",YuAlexandr,ru
2021-12-30 11:02:00+00:00,1476508866330468355,"@alfabank Обслуживание и не отменялось, но менять тариф без моего ведома это пиздец, ребят. Должно быть стыдно за такое отношение к клиентам",YuAlexandr,ru
2021-12-30 11:01:27+00:00,1476508728878931974,"@alfabank В чате ничего не удалось, после доеба по телефону оказалось, что я могу оспорить комиссию. В ЧАТЕ ОБ ЭТОМ ДАЖЕ РЕЧИ НЕ БЫЛО. Спасибо все для людей. Счета я закрыл, с вами ничего общего больше не имею и иметь не хочу.
Бот из говна сделан. 
2ч времени в пустую",YuAlexandr,ru
2021-12-30 10:32:29+00:00,1476501437555294213,"@alfabank Спс конечно, но это не факт, что ваши грехи (передо мной) прощены",galushkinsky,ru
2021-12-30 10:11:40+00:00,1476496199922376705,"@alfabank И кого нашли, кого наказали и как по моему обращению? Скиньте мне результаты этого расследования по координатам в обращении которое я привёл выше. Персональные данные преступников можете заказать. Давайте, скиньте мне анонимизированные данные.",ivanytch,ru
2021-12-30 09:54:08+00:00,1476491787489394688,"@alfabank ""Виктор Сергеевич, вы можете сменить номер в альфаклике через браузер!"" радостно говорит мне оператор. ""И он отправит смс для входа на старый номер?"" - ""Нет нет, что вы, введете другой!""
Тем временем альфаклик: отправляет смс для входа на номер десятилетней давности",solarjoy,ru
2021-12-30 09:15:30+00:00,1476482064023175175,"@alfabank игнорировать клиента в чате 2 часа - это у вас в стандарты обслуживания входит, да?",KatyaTokmakova,ru
2021-12-30 09:14:01+00:00,1476481689094402051,"@alfabank То есть по вашему мнению МВД и остальные банки ФИО не правильно транслитерацию делали?

И про какой офис вы говорите? В 2021 году я должен тратить время в вашей очереди для задачи которая решается в чате?",colontree,ru
2021-12-30 08:46:32+00:00,1476474775027519488,"@alfabank @voidlizard Так вы ничего с ними не делаете, как всё было два года назад, так же всё и сейчас ¯\_(ツ)_/¯",libneko,ru
2021-12-30 08:35:45+00:00,1476472062982172672,@alfabank прокомментируете? https://t.co/TIYt9dkz8A,erikkartman,ru
2021-12-30 07:40:06+00:00,1476458056754024448,@alfabank Только он не работает. Проверено многократно.,nickolay,ru
2021-12-30 07:36:40+00:00,1476457191523688448,"@alfabank @delph1n Да там не сразу, там вообще никогда не получается помочь. Это не исключение, это правило. Там очень, очень плохие люди, которые наносят исключительно вред и вызывают исключительно раздражение. Это полностью бессмысленная фича, без которой было бы лучше.",ilyabirman,ru
2021-12-30 07:30:04+00:00,1476455532559015940,"@alfabank @antonhr1337 О, а можно меня тоже удалить из ваших списков? Лет 10 назад закрыл счета, отозвал согласие на обработку персональных данных и каждый месяц вы по нескольку раз звоните (и потому везде в ЧС). Может уже как-то прекратим это?",yahoo_eyuu,ru
2021-12-30 07:17:06+00:00,1476452267385671682,"@alfabank Банк должен работать 24/7. А он когда надо не работает, а когда не надо работает. https://t.co/WdjFjyIu74",iam_Masaki,ru
2021-12-30 06:58:04+00:00,1476447477356236802,@alfabank @frauhelgawinter В хуядке,red_shira,ru
2021-12-30 06:41:43+00:00,1476443363310243845,"@alfabank К сожалению, никаких предупреждений не высвечивалось. Всё получилось, но спустя ~час времени",who_fckkk,ru
2021-12-30 05:41:17+00:00,1476428155049033729,"@alfabank Ваши сотрудники в чатах ржут, что опять 29 числа как в прошлом году все упало, а Айти уже спит. У вас не все хорошо",relicebmi,ru
2021-12-30 01:38:26+00:00,1476367038717304835,"@alfabank да спасибо, сегодня уже работает.",Padavan6021,ru
2021-12-29 23:40:07+00:00,1476337263185477635,"@alfabank Тем не менее есть средние показатели. Каков процент тех у кого 9.9%, и у кого 39.99%? Также вы не ответили, есть ли статистика о доле людей укладывающихся в 100 дней? Продукт то ведь не для них создавался.
Юлите, как ваш президент...",LexxBose,ru
2021-12-29 21:41:07+00:00,1476307316291088393,@alfabank Так я и писал это давно,mtreskin,ru
2021-12-29 21:33:34+00:00,1476305417298919430,"@alfabank Да, спасибо",onemuri_liya,ru
2021-12-29 20:11:29+00:00,1476284761605816330,"@alfabank @quadrantum1 Баннера не было. И удивлен, что сммщики Альфы не знают, что хранить все средства на активном счете с привязкой к карте это банально  не безопасно.
А перевести с другого счета - никак ;)",colorless,ru
2021-12-29 19:42:30+00:00,1476277466603954185,@alfabank @colorless Если через телефон по NFC то скорее всего нет.,quadrantum1,ru
2021-12-29 19:41:43+00:00,1476277269119311876,@alfabank Отдали в работу на разборки по результатам чата...,kaeigor_nn,ru
2021-12-29 19:34:07+00:00,1476275354868326407,"@alfabank Да, вот это другое дело совсем, видимо я заходил в старую версию (альфа-клик). Спасибо что подсказали.",quadrantum1,ru
2021-12-29 18:43:17+00:00,1476262562803200006,"@alfabank Не представляю, как можно работать сммщиком в твитере :/ 
Столько хейте прочитывать каждый день",AloneTupple,ru
2021-12-29 18:37:16+00:00,1476261048579670019,"@alfabank Небольшие сложности? У вас не работал вход. И судя по downdetector у большого кол-ва клиентов. К не стабильной работе добавить отсутствие поддержки и платные push уведомления. Тратить кучу денег на рекламу без возможности работать с клиентом, это странно",sintezenish,ru
2021-12-29 18:33:15+00:00,1476260038759129099,"@alfabank @sintezenish ""небольшие сложности""? вообще ни приложение не пускало, ни онлайн-банк. это, по-вашему, ""небольшие"" сложности?",filhodejaneiro,ru
2021-12-29 18:31:47+00:00,1476259670247587840,"@alfabank @Cat_in_the_lens а слабо вот взять и просто написать твит ""товарищи, у нас всё лежит, но не волнуйтесь, постараемся починить к шести вечера""? и не в реплай, а так, чтобы все 60 тыщ подписчиков прочитали. весь день ни одного твита про аварию, что за СММ такой из-под коряги?",filhodejaneiro,ru
2021-12-29 18:10:47+00:00,1476254383339974660,"@alfabank Ну так очевидно что нужно решить этот вопрос выделением бОльшего количества бабок на первую линию, а не перегружать работой людей, разве нет?",etotimur,ru
